dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
9,0,"ELECTRONICA FUNDAMENTAL",8.0,11.5,727,20
1,1,"PROGRAMACION 2",8.0,11.0,B22,32
20,2,"ADMINISTRACION DE INFRAESTRUCTURAS",12.0,16.0,116,6
4,3,"ADMINISTRACION DE OPERACIONES",8.0,10.5,312,94
1,4,"AGRIMENSURA LEGAL 1",8.0,12.0,725,20
20,5,"AGRIMENSURA LEGAL 2",8.0,12.0,Piso,70
15,6,"AGRIMENSURA LEGAL 3",8.0,12.0,116,6
15,7,"AGRIMENSURA LEGAL 4",8.0,12.0,A21,72
5,8,"ALISTAMIENTO NAVAL",8.0,12.0,601,60
8,9,"ANALISIS DE ALIMENTOS",16.0,20.0,601,60
21,10,"ANTENAS Y PROPAGACION",12.0,16.0,116,6
14,11,"APLICACIONES DEL ALGEBRA LINEAL",8.0,11.0,B12,141
19,12,"ARQUITECTURA DE COMPUTADORAS",8.0,11.0,B01,223
23,13,"ASPECTOS BASICOS DE REDES DE COMPUT",8.0,11.0,B22,32
22,14,"ASTRONOMIA GEODESICA",8.0,12.0,Actos,128
12,15,"AUTOMATAS PROGRAMABLES",8.0,12.0,C22,102
8,16,"AVALUACIONES 1",16.0,20.0,116,6
18,17,"AVALUACIONES 2",8.0,12.0,727,20
8,18,"AVALUACIONES 3",8.0,12.0,B22,32
9,19,"BASES DE DATOS I",8.0,12.0,C12,131
24,20,"BASES DE DATOS II",12.0,16.0,116,6
14,21,"BASES DE DATOS PARA INGENIERIA",8.0,11.0,A01,145
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,B01,223
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C01,194
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,307,180
24,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,B01,223
24,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,C01,194
25,24,"CALCULO VECTORIAL",8.0,11.0,A21,72
16,25,"CALIDAD DE AGUAS",8.0,12.0,722,10
25,26,"CAMINOS Y CALLES 1",8.0,12.0,722,10
14,27,"CAPTURA DE DATOS POR PERCEPCION REMOTA",8.0,12.0,116,6
1,28,"CARTOGRAFIA MATEMATICA",12.0,16.0,116,6
21,29,"CARTOGRAFÍA TEMÁTICA",16.0,20.0,116,6
8,30,"CARTOGRAFÍA TEMÁTICA (ÁREA)",12.0,16.0,601,60
20,31,"CATASTRO",12.0,16.0,Piso,70
17,32,"COMERCIALIZACION",8.0,12.0,116,6
17,33,"COMPL.ARQUITECTURA DE COMPUTADORAS",16.0,20.0,116,6
18,34,"COMPORTAMIENTO MECANICO DE MATERIALES 1",8.0,11.0,722,10
5,35,"COMPORTAMIENTO MECANICO DE MATERIALES 2",17.5,21.0,116,6
11,36,"COMPORTAMIENTO MEC. DE MATERIALES",8.0,11.5,B01,223
25,37,"COMPUTACION 1",11.0,14.0,B01,223
2,38,"COMUNICACIONES DIGITALES",8.0,12.0,116,6
18,39,"COMUNICACION ORAL Y ESCRITA (ACT.COMPL3)",8.0,11.0,C21,25
12,40,"CONTABILIDAD (ACT.COMPL.4)",8.0,12.0,Hall,100
1,41,"CONTROL DE CALIDAD",8.0,12.0,310,16
11,42,"COSTOS",8.0,12.0,C21,25
24,43,"COSTOS PARA INGENIERIA",16.0,20.0,116,6
13,44,"DINAMICA DE MAQUINAS Y VIBRACION",12.0,16.0,116,6
4,45,"DISEÑO ASISTIDO POR COMPUTADOR",8.0,12.0,C11,25
1,46,"DISEÑO CATASTRAL",16.0,20.0,116,6
6,47,"DISEÑO DE PROCESOS QUIMICOS",8.0,12.0,116,6
8,48,"DISEÑO DE REDES DE COND.EN ING.SANITARIA",8.0,12.0,A21,72
9,49,"DISEÑO HIDROLOGICO",8.0,12.0,725,20
20,50,"DISEÑO LOGICO",8.0,12.0,703,20
13,51,"DISEÑO Y MONTAJE DE LAS INDUSTRIAS DE PROCESOS",16.0,20.0,116,6
2,52,"ECONOMIA",8.0,12.0,B01,223
2,52,"ECONOMIA",8.0,12.0,A01,145
25,53,"ECONOMÍA (AREA)",12.0,16.0,116,6
12,54,"EJERCICIOS DE INGENIERIA SANITARIA",8.0,12.0,115,40
2,55,"ELASTICIDAD",8.0,12.0,C12,131
25,56,"ELECTROMAGNETISMO",8.0,12.0,C21,25
24,57,"ELECTRONICA AVANZADA 1",11.0,14.0,727,20
17,58,"ELECTRONICA AVANZADA 2",8.0,11.0,B01,223
1,59,"ELECTRONICA DE POTENCIA",11.0,15.0,B22,32
1,60,"ELECTROTECNICA",15.0,18.0,310,16
1,61,"ELECTROTECNICA I",8.0,10.5,305,35
22,62,"ELECTROTECNICA II",8.0,11.0,705,20
23,63,"ELEMENTOS DE GESTION LOGISTICA",12.0,16.0,116,6
3,64,"ELEMENTOS DE INGENIERIA AMBIENTAL",16.0,20.0,116,6
16,65,"ELEMENTOS DE MAQUINAS",8.0,12.0,Piso,70
25,66,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",8.0,11.0,601,60
25,66,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",8.0,11.0,703,20
11,67,"ELEMENTOS DE NAVEGACION",8.0,12.0,703,20
7,68,"ELEMENTOS DE TOPOGRAFIA",8.0,12.0,116,6
6,69,"ENERGIA 1- COMBUSTION",8.0,11.0,B11,50
16,70,"ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS",8.0,12.0,601,60
4,71,"ENSAYOS ELECTRICOS Y EQUIPOS DE MEDIA TENSION",12.0,16.0,116,6
1,72,"ESTRUCTURAS DE ACERO",8.0,10.0,A22,124
1,72,"ESTRUCTURAS DE ACERO",8.0,10.0,727,20
22,73,"ESTRUCTURAS DE BUQUES",8.0,12.0,116,6
8,74,"ESTRUCTURAS DE DATOS Y ALGORITMOS",8.0,12.0,116,6
6,75,"ESTRUCTURAS DE MADERA",8.0,12.0,722,10
20,76,"ESTUDIO DEL TRABAJO",8.0,12.0,A12,119
3,77,"FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS",8.0,12.0,C21,25
7,78,"FISICA 1",8.0,11.0,B01,223
7,78,"FISICA 1",8.0,11.0,C01,194
25,79,"FISICA 2",8.0,11.0,A12,119
3,80,"FISICA 3",8.0,11.0,A12,119
1,81,"FISICA TERMICA",8.0,11.5,501,62
21,82,"FLUIDODINAMICA",8.0,12.0,305,35
18,83,"FOTOGRAMETRIA",8.0,12.0,116,6
4,84,"FUNCIONES DE VARIABLE COMPLEJA",8.0,11.0,310,16
25,85,"FUNDAMENTOS DE BASES DE DATOS",16.0,19.0,C21,25
2,86,"FUNDAMENTOS DE ROBOTICA INDUSTRIAL",16.0,20.0,116,6
16,87,"FUND. DE LA PROD. DE CELULOSA Y PAPEL",8.0,11.0,310,16
24,88,"GENERADORES DE VAPOR",8.0,12.0,310,16
11,89,"GEODESIA 1",8.0,12.0,B11,50
23,90,"GEODESIA 2",16.0,20.0,116,6
12,91,"GEODESIA 3",8.0,12.0,B01,223
22,92,"GEOESTADISTICA APLICADA",8.0,12.0,309,16
6,93,"GEOFISICA",8.0,12.0,502,20
2,94,"GEOLOGIA DE INGENIERIA",12.0,16.0,B01,223
4,95,"GEOMETRIA Y ALGEBRA LINEAL 1",8.0,11.0,B01,223
4,95,"GEOMETRIA Y ALGEBRA LINEAL 1",8.0,11.0,C01,194
9,96,"GEOMETRIA Y ALGEBRA LINEAL 1 INTERACTIVA",12.0,15.0,310,16
1,97,"GEOMETRIA Y ALGEBRA LINEAL 2",11.0,14.5,B01,223
1,97,"GEOMETRIA Y ALGEBRA LINEAL 2",11.0,14.5,C01,194
25,98,"GESTION DE CALIDAD",12.0,16.0,722,10
7,99,"GESTION DE CALIDAD AMBIENTAL",8.0,12.0,722,10
12,100,"GESTION DEL MANTENIMIENTO",8.0,12.0,B12,141
21,101,"GESTION DE LOS RRHH. EN LA PROD. DE BIENES Y SERV.",8.0,12.0,116,6
3,102,"GESTION DE MANTENIMIENTO",8.0,12.0,B23,101
4,103,"HIDRAULICA FLUVIAL Y MARITIMA",12.0,16.0,311,29
18,104,"HIDRAULICA Y NEUMATICA",8.0,12.0,305,35
25,105,"HIDRODINAMICA NAVAL",16.0,20.0,116,6
16,106,"HIDROLOGIA AVANZADA II",12.0,16.0,116,6
1,107,"HIDROLOGIA E HIDRAULICA APLICADAS",8.0,12.0,722,10
13,108,"HIGIENE Y SERV. DE PLANTAS PROC. DE ALIMENTOS",8.0,12.0,B12,141
3,109,"HORMIGON ESTRUCTURAL 1",12.0,15.5,B23,101
1,110,"HORMIGON ESTRUCTURAL 2",8.0,10.0,B12,141
5,111,"HORMIGON ESTRUCTURAL 3",8.0,13.5,116,6
8,112,"INGENIERIA AMBIENTAL PARA LA INDUSTRIA DE PROCESOS",8.0,12.0,601,60
25,113,"INGENIERIA BIOQUIMICA",8.0,12.0,116,6
23,114,"INGENIERIA DE LAS REACCIONES QUIMICAS 1",8.0,12.0,722,10
1,115,"INGENIERIA DE LAS REACCIONES QUIMICAS 2",8.0,10.0,705,20
10,116,"INGENIERIA DE LOS PROCESOS ELECTROQUIMICOS",16.0,20.0,116,6
6,117,"INGENIERIA DE SOFTWARE",16.0,20.0,116,6
4,118,"INGENIERIA LEGAL",8.0,12.0,311,29
10,119,"INGLES CONVERSACIONAL (ACT.COMPL.2)",8.0,12.0,116,6
24,120,"INGLES TECNICO",8.0,12.0,116,6
7,121,"INGLES TECNICO 1 (ACT.COMPL.1)",16.0,20.0,116,6
1,122,"INSTALACIONES ELECTRICAS",12.0,16.0,722,10
1,123,"INSTALACIONES GENERALES DE GASES COMBUSTIBLES",14.5,18.5,C01,194
3,124,"INSTRUMENTACION INDUSTRIAL",8.0,12.0,310,16
6,125,"INSTRUMENTACION Y CONTROL",8.0,11.0,B01,223
6,126,"INT. A LA CIENCIA DE LOS MATERIALES",8.0,9.5,307,180
11,127,"INT. A LA CIENCIA DE MATERIALES",8.0,9.5,307,180
15,128,"INT. A LA COMBUSTION",8.0,12.0,C11,25
25,129,"INT. A LA CONSTRUCCION",8.0,12.0,310,16
9,130,"INT. A LA CORROSION DEL HORMIGON ARMADO",8.0,12.0,116,6
3,131,"INT. A LA ELECTROTECNIA",8.0,11.0,722,10
9,132,"INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.",8.0,12.0,310,16
4,133,"INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.(ÁREA)",8.0,12.0,116,6
13,134,"INT. A LA EVALUACION Y GESTION AMBIENTAL",8.0,12.0,722,10
22,135,"INT. A LA FISICA MODERNA",8.0,12.0,303,76
3,136,"INT. A LA GEODESIA Y SIST. DE POS. GLOBAL",8.0,12.0,116,6
1,137,"INT. A LA INGENIERIA BIOQUIMICA",8.0,12.0,C21,25
25,138,"INT. A LA INGENIERIA DE PROCESOS",11.5,15.5,727,20
20,139,"INT. A LA INGENIERIA DE SOFTWARE",8.0,11.0,727,20
24,140,"INT. A LA INGENIERIA NAVAL",8.0,12.0,A21,72
1,141,"INT. A LA INGENIERIA SANITARIA",16.0,20.0,722,10
1,142,"INT. A LA INVESTIGACION DE OPERACIONES",8.0,12.0,B11,50
19,143,"INT. A LA MECANICA DE LOS FLUIDOS",8.0,12.0,310,16
25,144,"INT. A LA MECANICA DE SUELOS",8.0,11.5,727,20
20,145,"INT. AL ANALISIS RURAL",16.0,20.0,116,6
3,146,"INT. A LA OPTICA",8.0,11.5,727,20
25,147,"INT. A LA PREVENCION DE RIESGOS LABORALES",8.0,12.0,B11,50
14,148,"INT. A LAS ECUACIONES DIFERENCIALES",8.0,11.0,Actos,128
13,149,"INT. A LA TERMODINAMICA",8.0,11.0,B01,223
23,150,"INT. AL CONTROL INDUSTRIAL",8.0,12.0,116,6
11,151,"INT. AL DERECHO",8.0,10.0,C01,194
3,152,"INT. A LOS MICROPROCESADORES",16.0,20.0,310,16
3,153,"INT. A LOS SIST. DE PROT. DE SIST. ELECT. DE POT.",12.0,16.0,116,6
15,154,"INT. AL SISTEMA CLIMATICO",12.0,16.0,116,6
2,155,"INT. AL TRANSPORTE",12.0,16.0,116,6
4,156,"LABORATORIO DE TECNOLOGIA DEL HORMIGON",8.0,12.0,725,20
15,157,"LEGISLACION TERRITORIAL",8.0,12.0,C01,194
4,158,"LEGISLACION Y RELACIONES INDUSTRIALES",8.0,10.0,B11,50
25,159,"LOGICA",8.0,12.0,312,94
16,160,"MAMPOSTERIA ESTRUCTURAL",16.0,20.0,116,6
20,161,"MANTENIMIENTO DE BUQUES",8.0,12.0,A11,25
4,162,"MAQUINARIA NAVAL",8.0,12.0,722,10
2,163,"MAQUINAS ELECTRICAS",8.0,10.5,705,20
13,164,"MAQUINAS PARA FLUIDOS",8.0,12.0,116,6
2,165,"MAQUINAS PARA FLUIDOS I",8.0,11.0,727,20
17,166,"MAQUINAS PARA FLUIDOS II",8.0,12.0,A21,72
15,167,"MAQUINAS Y EQUIPOS PARA TRANSPORTE",8.0,12.0,C22,102
7,168,"MATEMATICA",12.0,16.0,116,6
23,169,"MATEMATICA 1",8.0,11.0,C01,194
24,170,"MATEMATICA 2",8.0,11.0,722,10
16,171,"MATEMATICA 3",8.0,11.0,B01,223
25,172,"MATEMATICA DISCRETA 1",8.0,11.0,B01,223
25,172,"MATEMATICA DISCRETA 1",8.0,11.0,C01,194
9,173,"MATEMATICA DISCRETA 2",8.0,11.0,A12,119
9,174,"MATEMATICA DISCRETA Y LOGICA 1",12.0,16.0,116,6
3,175,"MATEMATICA DISCRETA Y LOGICA 2",8.0,12.0,312,94
1,176,"MATEMATICA INICIAL",8.0,12.0,311,29
20,177,"MATERIALES Y ENSAYOS",8.0,12.0,722,10
24,178,"MECANICA APLICADA (ING.QUÍM)",8.0,11.0,727,20
20,179,"MECANICA DE LOS FLUIDOS",8.0,12.0,310,16
24,180,"MECANICA ESTRUCTURAL",8.0,12.0,102,25
15,181,"MECANICA NEWTONIANA",8.0,12.0,312,94
23,182,"MEDIDAS ELECTRICAS",8.0,12.0,727,20
6,183,"MEDIDAS ELECTRICAS EN INGENIERIA DE PROCESOS",8.0,12.0,C01,194
1,184,"METALURGIA DE TRANSFORMACION",8.0,12.0,116,6
25,185,"METALURGIA FISICA",12.0,16.0,115,40
25,186,"MET. COMPUT.APLIC.AL CALCULO ESTRUCTURAL",8.0,12.0,115,40
17,187,"METEOROLOGIA DINAMICA Y SINOPTICA",12.0,16.0,116,6
1,188,"METODOS NUMERICOS",8.0,11.0,Actos,128
13,189,"MODULO TALLER EXTENSION ING.AMBIENTAL 1",8.0,12.0,Actos,128
10,190,"MODULO TALLER EXTENSION ING.AMBIENTAL 2",8.0,12.0,B21,39
10,191,"MOTORES DE COMB. INT. Y TURBINAS DE GAS",12.0,16.0,116,6
17,192,"MOTORES DE COMBUSTION INTERNA",8.0,11.0,C01,194
18,193,"OBRAS HIDRAULICAS",12.0,16.0,116,6
15,194,"OPTICA",16.0,20.0,116,6
2,195,"ORDENAMIENTO TERRITORIAL 1",8.0,12.0,C22,102
5,196,"ORDENAMIENTO TERRITORIAL 2",8.0,12.0,B01,223
5,196,"ORDENAMIENTO TERRITORIAL 2",8.0,12.0,C01,194
10,197,"PATOLOGIA DE LAS ESTRUCTURAS",8.0,10.0,307,180
17,198,"PLANEAMIENTO ESTRATEGICO Y ESTRATEGIA COMPETITIVA",8.0,12.0,A11,25
2,199,"POTABILIZACION DE AGUAS",8.0,12.0,722,10
11,200,"PRINCIPIOS DE PROGRAMACION",8.0,12.0,116,6
22,201,"PRINCIPIOS DE QUIMICA GENERAL",8.0,12.0,B21,39
18,202,"PROBABILIDAD Y ESTADISTICA",8.0,11.0,312,94
2,203,"PROCEDIMIENTOS CONST. OBRAS VIALES Y SUELO",12.0,13.5,722,10
24,204,"PROCEDIMIENTOS CONST.PARA ESTRUCTURAS",11.0,13.0,722,10
6,205,"PRODUCCION CARTOGRAFICA",12.0,16.0,116,6
13,206,"PROGRAMACION 1",8.0,11.0,A12,119
18,207,"PROGRAMACION 3",8.0,11.0,601,60
18,207,"PROGRAMACION 3",8.0,11.0,703,20
1,208,"PROGRAMACION 4",12.0,15.0,310,16
7,209,"PROGRAMACION AVANZADA",8.0,12.0,Piso,70
25,210,"PROYECTO",8.0,11.0,B23,101
2,211,"PROYECTO DE INGENIERIA MECANICA",8.0,12.0,B12,141
