dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
6,0,"ELECTRONICA FUNDAMENTAL",8.0,11.5,B11,50
13,1,"PROGRAMACION 2",8.0,11.0,312,94
12,2,"ADMINISTRACION DE INFRAESTRUCTURAS",16.0,20.0,116,6
15,3,"ADMINISTRACION DE OPERACIONES",8.0,10.5,B12,141
1,4,"AGRIMENSURA LEGAL 1",8.0,12.0,705,20
21,5,"AGRIMENSURA LEGAL 2",8.0,12.0,116,6
21,5,"AGRIMENSURA LEGAL 2",8.0,12.0,C21,25
4,6,"AGRIMENSURA LEGAL 3",12.0,16.0,116,6
10,7,"AGRIMENSURA LEGAL 4",8.0,12.0,116,6
25,8,"ALISTAMIENTO NAVAL",12.0,16.0,116,6
25,9,"ANALISIS DE ALIMENTOS",8.0,12.0,502,20
21,10,"ANTENAS Y PROPAGACION",16.0,20.0,116,6
14,11,"APLICACIONES DEL ALGEBRA LINEAL",8.0,11.0,A01,145
23,12,"ARQUITECTURA DE COMPUTADORAS",12.0,15.0,C22,102
9,13,"ASPECTOS BASICOS DE REDES DE COMPUT",8.0,11.0,B12,141
7,14,"ASTRONOMIA GEODESICA",8.0,12.0,C01,194
16,15,"AUTOMATAS PROGRAMABLES",16.0,20.0,116,6
20,16,"AVALUACIONES 1",12.0,16.0,116,6
23,17,"AVALUACIONES 2",12.0,16.0,B01,223
24,18,"AVALUACIONES 3",8.0,12.0,116,6
14,19,"BASES DE DATOS I",8.0,12.0,B01,223
25,20,"BASES DE DATOS II",8.0,12.0,116,6
2,21,"BASES DE DATOS PARA INGENIERIA",8.0,11.0,502,20
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,B01,223
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C01,194
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,307,180
2,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,B01,223
2,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,C01,194
2,24,"CALCULO VECTORIAL",12.0,15.0,C01,194
11,25,"CALIDAD DE AGUAS",16.0,20.0,116,6
1,26,"CAMINOS Y CALLES 1",8.0,12.0,310,16
2,27,"CAPTURA DE DATOS POR PERCEPCION REMOTA",16.0,20.0,116,6
23,28,"CARTOGRAFIA MATEMATICA",12.0,16.0,116,6
15,29,"CARTOGRAFÍA TEMÁTICA",8.0,12.0,B01,223
20,30,"CARTOGRAFÍA TEMÁTICA (ÁREA)",8.0,12.0,C01,194
9,31,"CATASTRO",8.0,12.0,B01,223
17,32,"COMERCIALIZACION",8.0,12.0,116,6
17,32,"COMERCIALIZACION",8.0,12.0,722,10
14,33,"COMPL.ARQUITECTURA DE COMPUTADORAS",16.0,20.0,116,6
5,34,"COMPORTAMIENTO MECANICO DE MATERIALES 1",8.0,11.0,116,6
5,34,"COMPORTAMIENTO MECANICO DE MATERIALES 1",8.0,11.0,B01,223
2,35,"COMPORTAMIENTO MECANICO DE MATERIALES 2",12.0,15.5,Actos,128
20,36,"COMPORTAMIENTO MEC. DE MATERIALES",8.0,11.5,A01,145
1,37,"COMPUTACION 1",8.0,11.0,A11,25
2,38,"COMUNICACIONES DIGITALES",8.0,12.0,B22,32
13,39,"COMUNICACION ORAL Y ESCRITA (ACT.COMPL3)",8.0,11.0,722,10
13,39,"COMUNICACION ORAL Y ESCRITA (ACT.COMPL3)",8.0,11.0,B01,223
1,40,"CONTABILIDAD (ACT.COMPL.4)",12.0,16.0,727,20
25,41,"CONTROL DE CALIDAD",8.0,12.0,727,20
25,42,"COSTOS",8.0,12.0,311,29
24,43,"COSTOS PARA INGENIERIA",12.0,16.0,727,20
19,44,"DINAMICA DE MAQUINAS Y VIBRACION",8.0,12.0,C01,194
2,45,"DISEÑO ASISTIDO POR COMPUTADOR",8.0,12.0,305,35
17,46,"DISEÑO CATASTRAL",16.0,20.0,116,6
20,47,"DISEÑO DE PROCESOS QUIMICOS",8.0,12.0,B01,223
12,48,"DISEÑO DE REDES DE COND.EN ING.SANITARIA",8.0,12.0,310,16
22,49,"DISEÑO HIDROLOGICO",8.0,12.0,116,6
24,50,"DISEÑO LOGICO",8.0,12.0,727,20
12,51,"DISEÑO Y MONTAJE DE LAS INDUSTRIAS DE PROCESOS",8.0,12.0,B01,223
1,52,"ECONOMIA",14.0,18.0,B01,223
1,52,"ECONOMIA",14.0,18.0,C01,194
21,53,"ECONOMÍA (AREA)",8.0,12.0,501,62
9,54,"EJERCICIOS DE INGENIERIA SANITARIA",8.0,12.0,C01,194
23,55,"ELASTICIDAD",8.0,12.0,309,16
4,56,"ELECTROMAGNETISMO",8.0,12.0,310,16
